grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
main,Virchow2,c4e1d86e5fc4,SCAFFOLD,adam,0.0003,4,torch.float16,0.6826688364524003,0.6826688364524003,0.6826688364524003,2,2,0.0,0.0
main,Virchow2,c8ccb1400c71,SCAFFOLD,adam,0.0003,3,torch.float16,0.7030105777054516,0.7030105777054516,0.7030105777054516,1,2,0.0,0.0
main,Virchow2,db6dbe22658a,FedAvg,adam,0.0003,2,torch.float16,0.8779495524816925,0.8779495524816925,0.8779495524816925,0,0,0.0,0.0
sgd,Virchow2,012a457a8097,FedAvg,sgd,0.003,0,torch.float16,0.8681855166802278,0.8681855166802278,0.8681855166802278,0,0,0.0,0.0
sgd,Virchow2,01c7c0cca63a,SCAFFOLD,sgd,0.003,3,torch.float16,0.9048006509357202,0.9048006509357202,0.9048006509357202,0,0,0.0,0.0
sgd,Virchow2,027529495645,FedAvg,sgd,0.1,3,torch.float16,0.4735557363710334,0.4743694060211554,0.4735557363710334,1,0,-0.08136696501220286,0.0
sgd,Virchow2,0a525d0a32fa,FedAvg,sgd,0.1,4,torch.float16,0.532953620829943,0.532953620829943,0.532953620829943,0,0,0.0,0.0
sgd,Virchow2,16d47e93db7f,SCAFFOLD,sgd,0.01,3,torch.float16,0.8600488201790073,0.8600488201790073,0.8600488201790073,0,0,0.0,0.0
sgd,Virchow2,205eda87d20b,SCAFFOLD,sgd,0.01,2,torch.float16,0.7835638730675346,0.7835638730675346,0.7835638730675346,0,0,0.0,0.0
sgd,Virchow2,251531333514,FedAvg,sgd,0.03,4,torch.float16,0.9349064279902359,0.9349064279902359,0.9349064279902359,0,0,0.0,0.0
sgd,Virchow2,31ac075c909f,SCAFFOLD,sgd,0.01,1,torch.float16,0.8421480878763222,0.8421480878763222,0.8413344182262001,1,1,-0.08136696501220841,-0.08136696501220841
sgd,Virchow2,3973a15bf7f4,FedProx,sgd,0.003,0,torch.float16,0.8925956061838893,0.8925956061838893,0.8925956061838893,0,0,0.0,0.0
sgd,Virchow2,39793e072cf2,SCAFFOLD,sgd,0.1,1,torch.float16,0.43368592351505286,0.43368592351505286,0.43368592351505286,0,0,0.0,0.0
sgd,Virchow2,3a0bcc967740,SCAFFOLD,sgd,0.1,0,torch.float16,0.28152969894222946,0.28152969894222946,0.28152969894222946,0,0,0.0,0.0
sgd,Virchow2,3aa76d11955c,SCAFFOLD,sgd,0.1,2,torch.float16,0.28152969894222946,0.28152969894222946,0.28152969894222946,0,0,0.0,0.0
sgd,Virchow2,3b7c1435bc95,SCAFFOLD,sgd,0.01,4,torch.float16,0.853539462978031,0.853539462978031,0.853539462978031,0,0,0.0,0.0
sgd,Virchow2,3cbb582e2e37,FedProx,sgd,0.03,4,torch.float16,0.9015459723352319,0.9015459723352319,0.9015459723352319,0,0,0.0,0.0
sgd,Virchow2,3deb92923938,FedAvg,sgd,0.01,3,torch.float16,0.9259560618388935,0.9267697314890154,0.9259560618388935,1,0,-0.08136696501219731,0.0
sgd,Virchow2,430e91d030fa,FedAvg,sgd,0.03,0,torch.float16,0.9137510170870626,0.9137510170870626,0.9137510170870626,0,0,0.0,0.0
sgd,Virchow2,4929cb8f67a8,FedProx,sgd,0.1,0,torch.float16,0.44426362896663957,0.44426362896663957,0.44426362896663957,0,0,0.0,0.0
sgd,Virchow2,4a5dd57c803f,FedAvg,sgd,0.01,0,torch.float16,0.8454027664768105,0.8454027664768105,0.8454027664768105,0,0,0.0,0.0
sgd,Virchow2,4c1873b60972,FedAvg,sgd,0.01,4,torch.float16,0.9039869812855981,0.9039869812855981,0.9039869812855981,0,0,0.0,0.0
sgd,Virchow2,532e142c67db,FedAvg,sgd,0.01,1,torch.float16,0.9308380797396257,0.9308380797396257,0.9308380797396257,0,0,0.0,0.0
sgd,Virchow2,5cd47daed851,FedProx,sgd,0.003,2,torch.float16,0.8982912937347437,0.8982912937347437,0.8982912937347437,0,0,0.0,0.0
