grid,fm,key,kind,algorithm,optimizer,lr,mu,k,sampling,partition,ft,arch,legacy_drop_last,protocol,seed,best_val,acc,bacc,f1,macro,train_macro,rounds,best_round,acc_json,bacc_json,f1_json,n_changed_predictions,acc_shift_pp,recall_LUAD,recall_PAAD
mu,Virchow2,ae9573fe8fef,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,1,0.8911111354827881,0.8576078112286412,0.8325298928405712,0.8244835702828163,0.8399280340754174,0.8399280340754174,121.0,71,0.8576078112286412,0.8325298928405712,0.8244835702828163,0,0.0,0.95,0.6341463414634146
mu,Virchow2,babef538c2b1,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,4,0.9311111569404602,0.8950366151342555,0.8820996543114814,0.8743340764757169,0.8880605495747322,0.8880605495747322,229.0,179,0.8950366151342555,0.8820996543114814,0.8743340764757169,0,0.0,0.9833333333333333,0.8536585365853658
mu,Virchow2,c81e98cc8b38,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,3,0.9466667175292969,0.9251423921887714,0.9194141179877909,0.918417769043388,0.915206166569095,0.915206166569095,383.0,333,0.9251423921887714,0.9194141179877909,0.918417769043388,0,0.0,0.9916666666666667,0.9024390243902439
mu,Virchow2,da1d932feb1e,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,0,0.9111111164093018,0.8844589096826688,0.8688915896734294,0.8589846255038344,0.8673447712464266,0.8673447712464266,185.0,135,0.8844589096826688,0.8688915896734294,0.8589846255038344,0,0.0,0.9583333333333334,0.9024390243902439
mu,Virchow2,ec71d4a537c5,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,0,0.9044444561004639,0.887713588283157,0.8763941628665991,0.8632351973856047,0.8762657891437021,0.8762657891437021,144.0,94,0.8885272579332791,0.8772423392872946,0.864123780641461,1,-0.08136696501220841,0.8916666666666667,0.9024390243902439
participation,Conch_v15,1325243cd3cf,fl,FedAvg,adam,0.0003,0.01,9,stratified,project_tss,raw,mlp,False,,3,0.902222216129303,0.8502847843775427,0.795091814155972,0.7995076141388721,0.8163300216032856,0.8163300216032856,125.0,75,0.8502847843775427,0.795091814155972,0.7995076141388721,0,0.0,0.8833333333333333,0.5121951219512195
participation,Conch_v15,13cdd3a2e851,fl,FedAvg,adam,0.0003,0.01,-1,stratified,project_tss,raw,mlp,False,,2,0.9044444561004639,0.8787632221318145,0.8272873425854811,0.8347981315794782,0.8506097470438297,0.8506097470438297,215.0,165,0.8787632221318145,0.8272873425854811,0.8347981315794782,0,0.0,0.975,0.6097560975609756
participation,Conch_v15,261e44b2b0d5,fl,FedAvg,adam,0.0003,0.01,30,stratified,project_tss,raw,mlp,False,,0,0.8911111354827881,0.8519121236777868,0.7800003288596972,0.790090662119666,0.8081162858007697,0.8081162858007697,123.0,73,0.8519121236777868,0.7800003288596972,0.790090662119666,0,0.0,0.9416666666666667,0.3902439024390244
participation,Conch_v15,26da57b42b43,fl,FedAvg,adam,0.0003,0.01,9,stratified,project_tss,raw,mlp,False,,2,0.8955555558204651,0.8641171684296176,0.8023815592090972,0.8076098436403203,0.8267624986570988,0.8267624986570988,114.0,64,0.8641171684296176,0.8023815592090972,0.8076098436403203,0,0.0,0.9833333333333333,0.8536585365853658
participation,Conch_v15,304e546c2e43,fl,FedAvg,adam,0.0003,0.01,15,stratified,project_tss,raw,mlp,False,,0,0.9066666960716248,0.8771358828315704,0.8555369436935676,0.8624618171056154,0.8579729635323222,0.8579729635323222,189.0,139,0.8771358828315704,0.8555369436935676,0.8624618171056154,0,0.0,0.9833333333333333,0.8292682926829268
participation,Conch_v15,3702558faa86,fl,FedAvg,adam,0.0003,0.01,15,stratified,project_tss,raw,mlp,False,,3,0.8777778148651123,0.8454027664768105,0.8085570661715131,0.8185688068923208,0.817888825988373,0.817888825988373,102.0,52,0.8454027664768105,0.8085570661715131,0.8185688068923208,0,0.0,0.7333333333333333,0.6585365853658537
participation,Conch_v15,43c4ce7ef95c,fl,FedAvg,adam,0.0003,0.01,9,stratified,project_tss,raw,mlp,False,,1,0.8844444751739502,0.853539462978031,0.7805316464498521,0.7857487312800245,0.8103840999601184,0.8103840999601184,124.0,74,0.853539462978031,0.7805316464498521,0.7857487312800245,0,0.0,0.9666666666666667,0.36585365853658536
participation,Conch_v15,5e89ab86a786,fl,FedAvg,adam,0.0003,0.01,-1,stratified,project_tss,raw,mlp,False,,0,0.9111111164093018,0.8828315703824248,0.8529769704439937,0.8540524860138571,0.8627886300683434,0.8627886300683434,397.0,347,0.8828315703824248,0.8529769704439937,0.8540524860138571,0,0.0,0.9833333333333333,0.8292682926829268
participation,Conch_v15,8ed4ec2a0bbe,fl,FedAvg,adam,0.0003,0.01,15,stratified,project_tss,raw,mlp,False,,4,0.8799999952316284,0.8421480878763222,0.7990803222509786,0.8111467732307548,0.8100557362959349,0.8100557362959349,137.0,87,0.8421480878763222,0.7990803222509786,0.8111467732307548,0,0.0,0.9333333333333333,0.6829268292682927
